股票代码,股票名称,市场,分类,类型
300045,华力创通,A股,沪深A股,股票
300300,海峡创新,A股,沪深A股,股票
002848,高斯贝尔,A股,沪深A股,股票
000595,宝塔实业,A股,沪深A股,股票
300977,深圳瑞捷,A股,沪深A股,股票
300732,设研院,A股,沪深A股,股票
300925,法本信息,A股,沪深A股,股票
603998,方盛制药,A股,沪深A股,股票
600111,北方稀土,A股,沪深A股,股票
000958,电投产融,A股,沪深A股,股票
300624,万兴科技,A股,沪深A股,股票
000966,长源电力,A股,沪深A股,股票
300074,华平股份,A股,沪深A股,股票
002279,久其软件,A股,沪深A股,股票
603626,科森科技,A股,沪深A股,股票
300155,安居宝,A股,沪深A股,股票
002232,启明信息,A股,沪深A股,股票
603896,寿仙谷,A股,沪深A股,股票
000951,中国重汽,A股,沪深A股,股票
002856,美芝股份,A股,沪深A股,股票
600186,莲花健康,A股,沪深A股,股票
605376,博迁新材,A股,沪深A股,股票
002323,雅博股份,A股,沪深A股,股票
603160,汇顶科技,A股,沪深A股,股票
002771,真视通,A股,沪深A股,股票
301011,华立科技,A股,沪深A股,股票
603358,华达科技,A股,沪深A股,股票
300766,每日互动,A股,沪深A股,股票
688258,卓易信息,A股,沪深A股,股票
000540,中天金融,A股,沪深A股,股票
301178,天亿马,A股,沪深A股,股票
600370,三房巷,A股,沪深A股,股票
300864,南大环境,A股,沪深A股,股票
002351,漫步者,A股,沪深A股,股票
600272,开开实业,A股,沪深A股,股票
300079,数码视讯,A股,沪深A股,股票
300211,亿通科技,A股,沪深A股,股票
002499,*ST科林,A股,沪深A股,股票
300058,蓝色光标,A股,沪深A股,股票
002137,实益达,A股,沪深A股,股票
601390,中国中铁,A股,沪深A股,股票
300097,智云股份,A股,沪深A股,股票
603993,洛阳钼业,A股,沪深A股,股票
600535,天士力,A股,沪深A股,股票
603416,信捷电气,A股,沪深A股,股票
300497,富祥药业,A股,沪深A股,股票
300289,利德曼,A股,沪深A股,股票
600203,福日电子,A股,沪深A股,股票
300461,田中精机,A股,沪深A股,股票
003020,立方制药,A股,沪深A股,股票
300399,天利科技,A股,沪深A股,股票
002975,博杰股份,A股,沪深A股,股票
003031,中瓷电子,A股,沪深A股,股票
300560,中富通,A股,沪深A股,股票
688618,三旺通信,A股,沪深A股,股票
300253,卫宁健康,A股,沪深A股,股票
000637,茂化实华,A股,沪深A股,股票
002706,良信股份,A股,沪深A股,股票
300703,创源股份,A股,沪深A股,股票
002172,澳洋健康,A股,沪深A股,股票
603519,立霸股份,A股,沪深A股,股票
300412,迦南科技,A股,沪深A股,股票
001210,金房节能,A股,沪深A股,股票
002017,东信和平,A股,沪深A股,股票
000587,*ST金洲,A股,沪深A股,股票
000568,泸州老窖,A股,沪深A股,股票
301029,怡合达,A股,沪深A股,股票
300859,西域旅游,A股,沪深A股,股票
688509,正元地信,A股,沪深A股,股票
002453,华软科技,A股,沪深A股,股票
300288,朗玛信息,A股,沪深A股,股票
002504,ST弘高,A股,沪深A股,股票
689009,九号公司-WD,A股,沪深A股,股票
600098,广州发展,A股,沪深A股,股票
000633,合金投资,A股,沪深A股,股票
600511,国药股份,A股,沪深A股,股票
300258,精锻科技,A股,沪深A股,股票
300966,共同药业,A股,沪深A股,股票
603387,基蛋生物,A股,沪深A股,股票
688302,海创药业-U,A股,沪深A股,股票
601226,华电重工,A股,沪深A股,股票
002476,宝莫股份,A股,沪深A股,股票
002841,视源股份,A股,沪深A股,股票
603909,建发合诚,A股,沪深A股,股票
000665,湖北广电,A股,沪深A股,股票
000338,潍柴动力,A股,沪深A股,股票
300956,英力股份,A股,沪深A股,股票
000403,派林生物,A股,沪深A股,股票
002748,世龙实业,A股,沪深A股,股票
002628,成都路桥,A股,沪深A股,股票
605388,均瑶健康,A股,沪深A股,股票
603558,健盛集团,A股,沪深A股,股票
000931,中关村,A股,沪深A股,股票
002830,名雕股份,A股,沪深A股,股票
600833,第一医药,A股,沪深A股,股票
300030,阳普医疗,A股,沪深A股,股票
300246,宝莱特,A股,沪深A股,股票
605358,立昂微,A股,沪深A股,股票
002178,延华智能,A股,沪深A股,股票
002880,卫光生物,A股,沪深A股,股票
603128,华贸物流,A股,沪深A股,股票
603300,华铁应急,A股,沪深A股,股票
688098,申联生物,A股,沪深A股,股票
603214,爱婴室,A股,沪深A股,股票
300612,宣亚国际,A股,沪深A股,股票
603200,上海洗霸,A股,沪深A股,股票
300213,佳讯飞鸿,A股,沪深A股,股票
600651,飞乐音响,A股,沪深A股,股票
002336,人人乐,A股,沪深A股,股票
000622,恒立实业,A股,沪深A股,股票
603500,祥和实业,A股,沪深A股,股票
603106,恒银科技,A股,沪深A股,股票
688617,惠泰医疗,A股,沪深A股,股票
300210,森远股份,A股,沪深A股,股票
300995,奇德新材,A股,沪深A股,股票
603258,电魂网络,A股,沪深A股,股票
300333,兆日科技,A股,沪深A股,股票
603569,长久物流,A股,沪深A股,股票
000590,启迪药业,A股,沪深A股,股票
002181,粤传媒,A股,沪深A股,股票
688010,福光股份,A股,沪深A股,股票
603177,德创环保,A股,沪深A股,股票
603660,苏州科达,A股,沪深A股,股票
300636,同和药业,A股,沪深A股,股票
600067,冠城大通,A股,沪深A股,股票
000715,中兴商业,A股,沪深A股,股票
600234,科新发展,A股,沪深A股,股票
688097,博众精工,A股,沪深A股,股票
301211,亨迪药业,A股,沪深A股,股票
688109,品茗股份,A股,沪深A股,股票
688002,睿创微纳,A股,沪深A股,股票
603878,武进不锈,A股,沪深A股,股票
300911,亿田智能,A股,沪深A股,股票
300492,华图山鼎,A股,沪深A股,股票
600713,南京医药,A股,沪深A股,股票
002331,皖通科技,A股,沪深A股,股票
002058,威尔泰,A股,沪深A股,股票
301111,粤万年青,A股,沪深A股,股票
603655,朗博科技,A股,沪深A股,股票
